Prompt,Persona,Character,Hair Colour,Hairstyle,Pose/Action,Clothing Style,Top Clothing Description,Top Clothing,Bottom Clothing Description,Bottom Clothing,Footwear Description,Footwear,Accessories,Expression/Emotion,Makeup,Setting,Mood/Lighting/Vibe,Camera Angle,Tags/Keywords,Orientation,Cinematic Framing
"Tugging a Sheer Blouse","Confident","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","loose, wavy ponytail","Tugging a sheer blouse slipping off one shoulder","Sheer sensual","white, sheer","blouse","denim","high-slit skirt","barefoot","","silver anklet","Teasing and bold","Bold red lipstick, winged eyeliner, glowing highlighter","Neon-lit loft with exposed brick, half-open curtains","Evening sultry glow, neon silhouette","Low-angle frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Adjusting a Slipping Towel","Energetic","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","messy bun","Sitting on a counter, toes pointing towards the viewer, adjusting a slipping towel","Minimalist sensual","white, damp","towel","none","none","barefoot","","gold necklace","Coy and confident","Natural glow, coral lip gloss, subtle eyeliner","Steamy bathroom with fogged mirror, rose petals","Evening intimate glow, candlelight","Frontal close shot, cropping just above the chest","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Stretching in a Loose Shirt","Bold","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","sleek ponytail","Stretching with arms raised, loose shirt lifting slightly","Casual sensual","white, loose","unbuttoned shirt","denim","short shorts","tan","sandals","silver stud earrings","Playful and inviting","Dewy finish, peach lip tint, light mascara","Sunlit rooftop with glass railings, city skyline","Midday radiant charm, bright sunlight","Frontal mid-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Leaning Against a Mirror","Sultry","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","loose curls","Leaning against a mirror, tugging a damp crop top","Sheer minimalist","black, damp","crop top","navy","high-waisted shorts","barefoot","","gold bangle","Seductive and poised","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Dimly lit dressing room with velvet curtains","Evening intimate ambiance, soft spotlight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Posing on a Balcony","Confident","Pizz0, a 23-year-old American-born Italian woman, 5’11”, well-proportioned with long toned legs, big natural breasts, brown eyes, confident demeanor, energetic personality","jet-black","high ponytail","Standing with one hand on railing, wind lifting a sheer scarf","Sheer sensual","white, sheer","scarf","denim","high-slit skirt","nude","heels","silver anklet","Teasing and vibrant","Natural glow, soft pink lip gloss, subtle blush","Neon-lit balcony with sheer curtains, city lights","Nighttime sultry vibe, neon glow","Frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Slipping Off a Dress","Confident","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","sleek, high bun","Pulling a dress over her head, revealing bare shoulders","Minimalist sensual","black, loose","dress","none","none","barefoot","","gold stud earrings","Coy and teasing","Dewy finish, nude lip gloss, light eyeliner","Candlelit bedroom with rumpled sheets, soft shadows","Evening intimate glow, candlelight","Low-angle close shot, cropping just above the chest","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Sitting on a Stool","Playful","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","messy bun","Sitting on a stool, toes pointing towards the viewer, tugging a sheer blouse","Sheer sensual","white, sheer","blouse","denim","short shorts","barefoot","","silver anklet","Flirtatious and relaxed","Natural glow, peach lip gloss, subtle blush","Sunlit studio with canvas, scattered paint","Midday radiant charm, bright sunlight","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Leaning Over a Railing","Bold","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","loose waves","Leaning over a railing, loose top falling slightly open","Casual sensual","white, loose","crop top","navy","high-waisted shorts","tan","sandals","gold necklace","Seductive and playful","Bold red lipstick, winged eyeliner, glowing highlighter","Twilight terrace with string lights, city skyline","Twilight sultry ambiance, warm string lights","Frontal mid-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Adjusting a Sarong","Confident","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","sleek ponytail","Adjusting a loose sarong slipping off one hip","Tropical sensual","multicolored floral","sarong","none","none","barefoot","","woven bracelet","Teasing and vibrant","Dewy finish, coral lip tint, light mascara","Tropical beach with palm trees, turquoise waves","Sunset vibrant glow, golden sunlight","Full-body frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Wide Shot"
"Posing in a Doorway","Sultry","Ann4, a 23-year-old Asian woman, 5’1”, petite but curvy with a small waist, big round natural breasts, big round brown eyes, poses for photos, confident in front of camera","blonde","loose curls","Leaning in a doorway, unbuttoned shirt revealing bare shoulders","Sheer minimalist","white, unbuttoned","shirt","denim","short shorts","barefoot","","silver stud earrings","Seductive and poised","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Dimly lit hallway with half-open door, soft shadows","Evening intimate ambiance, soft spotlight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Stretching on a Balcony","Elegant","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","voluminous, wavy style","Stretching with arms raised, loose sarong slipping slightly","Tropical sensual","white, loose","sarong","none","none","barefoot","","gold anklet","Graceful and teasing","Natural glow, soft pink lip gloss, subtle blush","Twilight balcony with sheer curtains, city lights","Twilight sultry glow, warm string lights","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Adjusting a Damp Top","Delicate","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","sleek, high bun","Sitting on a ledge, toes pointing towards the viewer, adjusting a damp crop top","Sheer sensual","white, damp","crop top","denim","high-slit skirt","tan","sandals","silver necklace","Coy and serene","Dewy finish, nude lip gloss, light eyeliner","Rain-soaked rooftop with wet railings, city skyline","Evening intimate ambiance, neon silhouette","Low-angle frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Close-Up"
"Leaning Against a Fountain","Elegant","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","loose ponytail","Leaning against a fountain, sheer blouse clinging to skin","Sheer sensual","white, sheer","blouse","navy","high-waisted shorts","barefoot","","gold stud earrings","Poised and flirtatious","Bold red lipstick, winged eyeliner, glowing highlighter","Marble fountain plaza with blooming flowers","Evening sultry glow, warm sunset light","Frontal mid-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Medium Shot"
"Posing in a Loft","Graceful","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","messy bun","Posing with one hand on hip, loose shirt slipping off shoulder","Casual sensual","white, loose","unbuttoned shirt","denim","short shorts","barefoot","","silver anklet","Teasing and relaxed","Natural glow, peach lip gloss, subtle blush","Industrial loft with exposed pipes, soft candlelight","Evening intimate ambiance, warm candlelight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Tugging a Scarf","Serene","SQ, a 23-year-old Taiwanese woman, 5’3”, medium frame, medium perky natural breasts, small mesmerizing eyes, delicate features, elegant demeanor","brown","sleek ponytail","Tugging a sheer scarf slipping off chest","Sheer minimalist","white, sheer","scarf","denim","high-slit skirt","nude","heels","gold bangle","Coy and inviting","Dewy finish, coral lip tint, light mascara","Sunlit penthouse with glass walls, potted palms","Midday radiant charm, bright sunlight","Frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Leaning in a Damp Sundress","Sultry","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","messy, wet updo","Leaning against a wall, damp sundress clinging to skin","Sheer sensual","floral, damp","sundress","none","none","barefoot","","woven bracelet","Expressive and teasing","Dewy finish, bold peach lipstick, soft eyeliner","Rain-soaked courtyard with stone walls, wet leaves","Evening intimate ambiance, neon silhouette","Low-angle frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Close-Up"
"Adjusting a Loose Top","Expressive","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","loose curls","Sitting on a bench, toes pointing towards the viewer, adjusting a loose crop top","Casual sensual","white, loose","crop top","denim","short shorts","tan","sandals","silver stud earrings","Playful and flirtatious","Natural glow, coral lip gloss, subtle blush","Sunlit plaza with cobblestone paths, blooming vines","Midday radiant charm, bright sunlight","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Posing in a Doorway","Warm","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","sleek ponytail","Leaning in a doorway, unbuttoned blouse revealing bare shoulders","Sheer minimalist","white, unbuttoned","blouse","navy","high-waisted shorts","barefoot","","gold necklace","Seductive and inviting","Bold red lipstick, winged eyeliner, glowing highlighter","Candlelit hallway with wooden floors, soft shadows","Evening intimate glow, candlelight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Stretching in a Sarong","Sultry","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","messy bun","Stretching with arms raised, loose sarong slipping slightly","Tropical sensual","multicolored floral","sarong","none","none","barefoot","","woven bracelet","Teasing and vibrant","Dewy finish, peach lip tint, light mascara","Tropical terrace with palm trees, turquoise lagoon","Sunset vibrant glow, golden sunlight","Full-body frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Wide Shot"
"Tugging a Damp Shirt","Expressive","SG, a 23-year-old American-born Latino woman, 5’4”, medium frame, full medium natural breasts, brown eyes, warm smile, expressive brown eyes, captivating stage charisma, embraces Latino heritage with a sultry yet relatable charm, thrives in emotionally expressive moments","light brown near blonde","loose, wet ponytail","Tugging a damp shirt clinging to skin","Sheer sensual","white, damp","shirt","denim","high-slit skirt","barefoot","","silver anklet","Coy and playful","Natural glow, soft pink lip gloss, subtle blush","Rain-soaked balcony with wet railings, city lights","Evening intimate ambiance, neon silhouette","Frontal dynamic shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Unbuttoning a Shirt","Confident","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","sleek, high bun","Unbuttoning a shirt, revealing bare shoulders","Sheer minimalist","white, unbuttoned","shirt","denim","short shorts","barefoot","","silver stud earrings","Poised and teasing","Bold crimson lipstick, smoky eyeshadow, shimmering highlighter","Candlelit bedroom with velvet curtains, soft shadows","Evening intimate glow, candlelight","Low-angle close shot, cropping just above the chest","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Adjusting a Slipping Scarf","Poised","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","messy bun","Sitting on a ledge, toes pointing towards the viewer, adjusting a slipping scarf","Sheer sensual","white, sheer","scarf","navy","high-waisted shorts","tan","sandals","gold necklace","Flirtatious and relaxed","Natural glow, peach lip gloss, subtle blush","Sunlit rooftop with glass railings, potted palms","Midday radiant charm, bright sunlight","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Leaning Against a Mirror","Confident","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","loose curls","Leaning against a mirror, tugging a damp crop top","Sheer sensual","black, damp","crop top","denim","high-slit skirt","barefoot","","silver anklet","Seductive and poised","Bold red lipstick, winged eyeliner, glowing highlighter","Dimly lit dressing room with fogged mirror","Evening intimate ambiance, soft spotlight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Posing in a Fountain","Runway-ready","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","sleek ponytail","Standing in a fountain, damp sundress clinging to skin","Sheer sensual","floral, damp","sundress","none","none","barefoot","","gold bangle","Teasing and vibrant","Dewy finish, coral lip tint, light mascara","Marble fountain plaza with blooming flowers","Evening sultry glow, warm sunset light","Full-body frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Wide Shot"
"Stretching in a Loose Top","Poised","ct-jennie2, a 23-year-old Korean young woman, 5’6”, runway model frame, medium natural breasts, brown eyes, confident stage presence","golden","loose, wavy ponytail","Stretching with arms raised, loose top lifting slightly","Casual sensual","white, loose","crop top","denim","short shorts","tan","sandals","silver stud earrings","Playful and inviting","Natural glow, soft pink lip gloss, subtle blush","Sunlit terrace with string lights, city skyline","Twilight sultry ambiance, warm string lights","Frontal mid-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Tugging a Sheer Scarf","Charming","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress","auburn copper","messy bun","Tugging a sheer scarf slipping off chest","Sheer sensual","white, sheer","scarf","denim","high-slit skirt","barefoot","","silver anklet","Teasing and playful","Natural glow, peach lip gloss, subtle blush","Neon-lit arcade with claw machines, pulsing lights","Nighttime electric vibe, neon glow","Frontal close shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Adjusting a Damp Blouse","Versatile","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress","auburn copper","sleek, high bun","Sitting on a stool, toes pointing towards the viewer, adjusting a damp blouse","Sheer sensual","white, damp","blouse","navy","high-waisted shorts","tan","sandals","gold necklace","Coy and flirtatious","Dewy finish, coral lip tint, light mascara","Rain-soaked courtyard with stone walls, wet leaves","Evening intimate ambiance, neon silhouette","Low-angle frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"
"Leaning in a Doorway","Charming","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress","auburn copper","loose curls","Leaning in a doorway, unbuttoned shirt revealing bare shoulders","Sheer minimalist","white, unbuttoned","shirt","denim","short shorts","barefoot","","silver stud earrings","Seductive and poised","Bold red lipstick, winged eyeliner, glowing highlighter","Candlelit hallway with half-open door, soft shadows","Evening intimate glow, candlelight","Oblique frontal shot, focusing on bare shoulders","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, luxurious, intricate textures","Portrait","Close-Up"
"Posing in a Fountain","Playful","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress","auburn copper","sleek ponytail","Standing in a fountain, damp sundress clinging to skin","Sheer sensual","floral, damp","sundress","none","none","barefoot","","gold bangle","Teasing and vibrant","Dewy finish, peach lip tint, light mascara","Marble fountain plaza with blooming flowers","Evening sultry glow, warm sunset light","Full-body frontal shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Wide Shot"
"Stretching in a Sarong","Charming","S@Tw!n5, a 23-year-old Hong Kong woman, 5’4”, slim build, medium perky natural breasts, brown eyes, charming smile, versatile actress","auburn copper","loose, wavy ponytail","Stretching with arms raised, loose sarong slipping slightly","Tropical sensual","multicolored floral","sarong","none","none","barefoot","","woven bracelet","Playful and inviting","Natural glow, soft pink lip gloss, subtle blush","Tropical terrace with palm trees, turquoise lagoon","Sunset vibrant glow, golden sunlight","Frontal mid-angle shot, looking directly to the viewer","photorealistic, ultra-detailed, 8K resolution, cinematic, sensual, summery, radiant glow, soft focus","Portrait","Medium Shot"